[2018-08-18T09:21:53.379] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:53.383] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:53.583] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.001s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:53.591] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:00.159] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:00.165] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:07.086] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/click","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:08.147] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.001s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:08.159] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.011s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:12.153] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/click","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
